a bana	A Baña
sant marti de tous	Sant Martí de Tous
sant marti sarroca	Sant Martí Sarroca
sant marti vell	Sant Martí Vell
sant miquel de campmajor	Sant Miquel de Campmajor
sant miquel de fluvia	Sant Miquel de Fluvià
sant mori	Sant Mori
sant pere de ribes	Sant Pere de Ribes
sant pere de riudebitlles	Sant Pere de Riudebitlles
sant pere de vilamajor	Sant Pere de Vilamajor
sant pere pescador	Sant Pere Pescador
sant pere, santa caterina i la ribera	Sant Pere, Santa Caterina i La Ribera
sant pol de mar	Sant Pol de Mar
sant quirze del valles	Sant Quirze del Vallès
sant quirze safaja	Sant Quirze Safaja
sant sadurni d'anoia	Sant Sadurní d'Anoia
sant salvador de guardiola	Sant Salvador de Guardiola
sant vicenc de castellet	Sant Vicenç de Castellet
sant vicenc de montalt	Sant Vicenç de Montalt
sant vicenc dels horts	Sant Vicenç dels Horts
santa amalia	Santa Amalia
santa ana	Santa Ana
santa ana de pusa	Santa Ana de Pusa
santa ana la real	Santa Ana la Real
santa barbara	Santa Bárbara
santa barbara de casa	Santa Bárbara de Casa
santa brigida	Santa Brígida
santa cecilia	Santa Cecilia
santa cecilia de voltrega	Santa Cecília de Voltregà
santa cecilia del alcor	Santa Cecilia del Alcor
santa clara de avedillo	Santa Clara de Avedillo
santa coloma	Santa Coloma
santa coloma de cervello	Santa Coloma de Cervelló
santa coloma de farners	Santa Coloma de Farners
santa coloma de gramenet	Santa Coloma de Gramenet
santa coloma de queralt	Santa Coloma de Queralt
santa colomba de curueno	Santa Colomba de Curueño
santa colomba de las monjas	Santa Colomba de las Monjas
santa colomba de somoza	Santa Colomba de Somoza
santa comba	Santa Comba
santa cristina d'aro	Santa Cristina d'Aro
santa cristina de la polvorosa	Santa Cristina de la Polvorosa
santa cristina de valmadrigal	Santa Cristina de Valmadrigal
santa croya de tera	Santa Croya de Tera
santa cruz	Santa Cruz
santa cruz de bezana	Santa Cruz de Bezana
santa cruz de boedo	Santa Cruz de Boedo
santa cruz de grio	Santa Cruz de Grío
santa cruz de la palma	Santa Cruz de la Palma
santa cruz de la salceda	Santa Cruz de la Salceda
santa cruz de la seros	Santa Cruz de la Serós
santa cruz de la sierra	Santa Cruz de la Sierra
santa cruz de la zarza	Santa Cruz de la Zarza
santa cruz de los canamos	Santa Cruz de los Cáñamos
santa cruz de moncayo	Santa Cruz de Moncayo
santa cruz de moya	Santa Cruz de Moya
santa cruz de mudela	Santa Cruz de Mudela
santa cruz de nogueras	Santa Cruz de Nogueras
santa cruz de paniagua	Santa Cruz de Paniagua
santa cruz de pinares	Santa Cruz de Pinares
santa cruz de tenerife	Santa Cruz de Tenerife
santa cruz de yanguas	Santa Cruz de Yanguas
santa cruz del retamar	Santa Cruz del Retamar
santa cruz del valle	Santa Cruz del Valle
santa cruz del valle urbion	Santa Cruz del Valle Urbión
santa elena	Santa Elena
santa elena de jamuz	Santa Elena de Jamuz
santa eufemia	Santa Eufemia
santa eufemia del arroyo	Santa Eufemia del Arroyo
santa eufemia del barco	Santa Eufemia del Barco
santa eugenia	Santa Eugènia
santa eugenia	Santa Eugenia
santa eugenia de berga	Santa Eugènia de Berga
santa eulalia	Santa Eulalia
santa eulalia bajera	Santa Eulalia Bajera
santa eulalia de gallego	Santa Eulalia de Gállego
santa eulalia de oscos	Santa Eulalia de Oscos
santa eulalia de roncana	Santa Eulàlia de Ronçana
santa eularia des riu	Santa Eulària des Riu
santa fe de mondujar	Santa Fe de Mondújar
santa gadea del cid	Santa Gadea del Cid
santa ines	Santa Inés
santa lucia	Santa Lucía
santa magdalena de pulpis	Santa Magdalena de Pulpis
santa margalida	Santa Margalida
santa maria d'olo	Santa Maria d'Oló
santa maria de cayon	Santa María de Cayón
santa maria de huerta	Santa María de Huerta
santa maria de la alameda	Santa María de la Alameda
santa maria de la isla	Santa María de la Isla
santa maria de la vega	Santa María de la Vega
santa maria de las hoyas	Santa María de las Hoyas
santa maria de los caballeros	Santa María de los Caballeros
santa maria de ordas	Santa María de Ordás
santa maria de palautordera	Santa Maria de Palautordera
santa maria de sando	Santa María de Sando
santa maria de valverde	Santa María de Valverde
santa maria del berrocal	Santa María del Berrocal
santa maria del cami	Santa Maria del Camí
santa maria del campo	Santa María del Campo
santa maria del campo rus	Santa María del Campo Rus
santa maria del invierno	Santa María del Invierno
santa maria del monte de cea	Santa María del Monte de Cea
santa maria del paramo	Santa María del Páramo
santa maria del val	Santa María del Val
santa maria la real de nieva	Santa María la Real de Nieva
santa marina del rey	Santa Marina del Rey
santa marta	Santa Marta
santa marta de magasca	Santa Marta de Magasca
santa marta de ortigueira	Santa Marta de Ortigueira
santa marta de tormes	Santa Marta de Tormes
santa marta del cerro	Santa Marta del Cerro
santa olalla	Santa Olalla
santa olalla de bureba	Santa Olalla de Bureba
santa olalla del cala	Santa Olalla del Cala
santa oliva	Santa Oliva
santa pau	Santa Pau
santa perpetua de mogoda	Santa Perpètua de Mogoda
santa pola	Santa Pola
santa ponsa	Santa Ponsa
santa susanna	Santa Susanna
santa ursula	Santa Úrsula
santa uxia de ribeira	Santa Uxía de Ribeira
santacara	Santacara
santaella	Santaella
santafe	Santafé
santander	Santander
santanyi	Santanyí
santas martas	Santas Martas
santed	Santed
santervas de campos	Santervás de Campos
santervas de la vega	Santervás de la Vega
santiago de alcantara	Santiago de Alcántara
santiago de calatrava	Santiago de Calatrava
santiago de compostela	Santiago de Compostela
santiago de la puebla	Santiago de la Puebla
santiago de la ribera	Santiago de la Ribera
santiago del campo	Santiago del Campo
santiago del collado	Santiago del Collado
santiago del teide	Santiago del Teide
santiago millas	Santiago Millas
santibanez de bejar	Santibáñez de Béjar
santibanez de ecla	Santibáñez de Ecla
santibanez de la pena	Santibáñez de la Peña
santibanez de la sierra	Santibáñez de la Sierra
santibanez de tera	Santibáñez de Tera
santibanez de valcorba	Santibáñez de Valcorba
santibanez de vidriales	Santibáñez de Vidriales
santibanez del val	Santibáñez del Val
santibanez el alto	Santibáñez el Alto
santibanez el bajo	Santibáñez el Bajo
santillana	Santillana
santiponce	Santiponce
santiso	Santiso
santisteban del puerto	Santisteban del Puerto
santiurde de reinosa	Santiurde de Reinosa
santiurde de toranzo	Santiurde de Toranzo
santiuste	Santiuste
santiuste de san juan bautista	Santiuste de San Juan Bautista
santiz	Santiz
santo domingo de la calzada	Santo Domingo de la Calzada
santo domingo de las posadas	Santo Domingo de las Posadas
santo domingo de piron	Santo Domingo de Pirón
santo domingo de silos	Santo Domingo de Silos
santo tome	Santo Tomé
santo tome de zabarcos	Santo Tomé de Zabarcos
santomera	Santomera
santona	Santoña
santorcaz	Santorcaz
santovenia	Santovenia
santovenia de pisuerga	Santovenia de Pisuerga
santoyo	Santoyo
santpedor	Santpedor
sants	Sants
sants - badal	Sants - Badal
sants-montjuic	Sants-Montjuïc
santurdejo	Santurdejo
santurtzi	Santurtzi
santutxu	Santutxu
sanxenxo	Sanxenxo
sanzoles	Sanzoles
sardon de duero	Sardón de Duero
sardon de los frailes	Sardón de los Frailes
sargentes de la lora	Sargentes de la Lora
sariego	Sariego
sariegos	Sariegos
sarinena	Sariñena
saro	Saro
sarracin	Sarracín
sarratella	Sarratella
sarreaus	Sarreaus
sarria	Sarria
sarria	Sarrià
sarria de ter	Sarrià de Ter
sarria-sant gervasi	Sarrià-Sant Gervasi
sarriguren	Sarriguren
sarrion	Sarrión
sartaguda	Sartaguda
sartajada	Sartajada
sasamon	Sasamón
sastago	Sástago
sauca	Saúca
saucedilla	Saucedilla
saucelle	Saucelle
sauquillo de cabezas	Sauquillo de Cabezas
sauzal	Sauzal
sax	Sax
sayalonga	Sayalonga
sayaton	Sayatón
sebulcor	Sebúlcor
secastilla	Secastilla
sedavi	Sedaví
sedella	Sedella
sediles	Sediles
segart	Segart
segorbe	Segorbe
segovia	Segovia
segundo ensanche	Segundo Ensanche
segura	Segura
segura de la sierra	Segura de la Sierra
segura de leon	Segura de León
segura de los banos	Segura de los Baños
segura de toro	Segura de Toro
segurilla	Segurilla
seira	Seira
selas	Selas
selaya	Selaya
sella	Sella
sellent	Sellent
selva	Selva
semillas	Semillas
sempere	Sempere
sena de luna	Sena de Luna
senan	Senan
sencelles	Sencelles
senes de alcubierre	Senés de Alcubierre
senija	Senija
seno	Seno
senterada	Senterada
sentmenat	Sentmenat
senyera	Senyera
sepulveda	Sepúlveda
sequera de fresno	Sequera de Fresno
sequeros	Sequeros
seron	Serón
seros	Seròs
serra	Serra
serra de daro	Serra de Daró
serrada	Serrada
serradilla	Serradilla
serradilla del arroyo	Serradilla del Arroyo
serradilla del llano	Serradilla del Llano
serranillos	Serranillos
serranillos del valle	Serranillos del Valle
serrato	Serrato
serrejon	Serrejón
ses salines	Ses Salines
sesa	Sesa
sesena	Seseña
sesma	Sesma
sestao	Sestao
sestrica	Sestrica
sesue	Sesué
setenil de las bodegas	Setenil de las Bodegas
setiles	Setiles
seva	Seva
sevilla	Sevilla
sevilla la nueva	Sevilla La Nueva
sevilleja de la jara	Sevilleja de la Jara
sidamon	Sidamon
sienes	Sienes
sierra de fuentes	Sierra de Fuentes
sierra de luna	Sierra de Luna
sierra de yeguas	Sierra de Yeguas
sierra-engarceran	Sierra-Engarcerán
sierro	Sierro
sietamo	Siétamo
siete aguas	Siete Aguas
siete iglesias de trabancos	Siete Iglesias de Trabancos
sigeres	Sigeres
siguenza	Sigüenza
sigues	Sigüés
siles	Siles
silla	Silla
silleda	Silleda
sils	Sils
simancas	Simancas
simat de la valldigna	Simat de la Valldigna
sinarcas	Sinarcas
sineu	Sineu
singra	Singra
sinlabajos	Sinlabajos
siruela	Siruela
sisamon	Sisamón
sisante	Sisante
sitges	Sitges
siurana	Siurana
sober	Sober
sobradelo	Sobradelo
sobradiel	Sobradiel
sobradillo	Sobradillo
sobrado	Sobrado
socovos	Socovos
socuellamos	Socuéllamos
sojuela	Sojuela
sol	Sol
solana de los barros	Solana de los Barros
solanillos del extremo	Solanillos del Extremo
solarana	Solarana
soliedra	Soliedra
sollana	Sollana
soller	Sóller
solorzano	Solórzano
solosancho	Solosancho
solsona	Solsona
somolinos	Somolinos
somontin	Somontín
somosierra	Somosierra
somozas	Somozas
son ferrer	Son Ferrer
son ferriol	Son Ferriol
son rapinya	Son Rapinya
son roca	Son Roca
son sardina	Son Sardina
son servera	Son Servera
sondika	Sondika
soneja	Soneja
sonseca	Sonseca
sopeira	Sopeira
sopela	Sopela
soportujar	Soportújar
sopuerta	Sopuerta
sora	Sora
sorbas	Sorbas
sordillos	Sordillos
soria	Soria
sorihuela	Sorihuela
sorihuela del guadalimar	Sorihuela del Guadalimar
sorlada	Sorlada
sort	Sort
sorvilan	Sorvilán
sorzano	Sorzano
sos del rey catolico	Sos del Rey Católico
soses	Soses
sot de chera	Sot de Chera
sot de ferrer	Sot de Ferrer
sotalbo	Sotalbo
sotillo	Sotillo
sotillo de la adrada	Sotillo de la Adrada
sotillo de la ribera	Sotillo de la Ribera
sotillo de las palomas	Sotillo de las Palomas
sotillo del rincon	Sotillo del Rincón
soto de cerrato	Soto de Cerrato
soto de la vega	Soto de la Vega
soto de vinuelas	Soto de Viñuelas
soto del barco	Soto del Barco
soto del real	Soto del Real
soto en cameros	Soto en Cameros
soto y amio	Soto y Amío
sotobanado y priorato	Sotobañado y Priorato
sotodosos	Sotodosos
sotosalbos	Sotosalbos
sotoserrano	Sotoserrano
sotragero	Sotragero
sotresgudo	Sotresgudo
suances	Suances
subirats	Subirats
sueca	Sueca
suellacabras	Suellacabras
sufli	Suflí
sumacarcer	Sumacàrcer
sunbilla	Sunbilla
sunyer	Sunyer
suria	Súria
susinos del paramo	Susinos del Páramo
susqueda	Susqueda
tabanera de cerrato	Tabanera de Cerrato
tabanera de valdavia	Tabanera de Valdavia
tabanera la luenga	Tabanera la Luenga
tabara	Tábara
tabera de abajo	Tabera de Abajo
tabernas	Tabernas
taberno	Taberno
taboada	Taboada
taboadela	Taboadela
tabuenca	Tabuenca
tacoronte	Tacoronte
tafalla	Tafalla
tagamanent	Tagamanent
tahal	Tahal
tajahuerce	Tajahuerce
tajueco	Tajueco
talamanca	Talamanca
talamanca de jarama	Talamanca de Jarama
talamantes	Talamantes
talarrubias	Talarrubias
talavan	Talaván
talavera de la reina	Talavera de la Reina
talavera la real	Talavera La Real
talayuela	Talayuela
talayuelas	Talayuelas
tales	Tales
taliga	Táliga
tamajon	Tamajón
tamames	Tamames
tamarit de llitera / tamarite de litera	Tamarit de Llitera / Tamarite de Litera
tamariz de campos	Tamariz de Campos
tamaron	Tamarón
tamurejo	Tamurejo
tanque	Tanque
tapia de casariego	Tapia de Casariego
tapioles	Tapioles
taradell	Taradell
taragudo	Taragudo
taramundi	Taramundi
tarancon	Tarancón
taravilla	Taravilla
tarazona	Tarazona
tarazona de guarena	Tarazona de Guareña
tarazona de la mancha	Tarazona de la Mancha
tardaguila	Tardáguila
tardajos	Tardajos
tardelcuende	Tardelcuende
tardienta	Tardienta
tarifa	Tarifa
taroda	Taroda
tarragona	Tarragona
tarrega	Tàrrega
tartanedo	Tartanedo
tauste	Tauste
tavernes blanques	Tavernes Blanques
tavernes de la valldigna	Tavernes de la Valldigna
tavertet	Tavertet
tazacorte	Tazacorte
teba	Teba
tebar	Tébar
tegueste	Tegueste
teguise	Teguise
teia	Teià
tejada	Tejada
tejadillos	Tejadillos
tejado	Tejado
tejeda	Tejeda
tejeda de tietar	Tejeda de Tiétar
tejeda y segoyuela	Tejeda y Segoyuela
telde	Telde
tembleque	Tembleque
tendilla	Tendilla
tenebron	Tenebrón
teo	Teo
termens	Térmens
teror	Teror
terque	Terque
terrades	Terrades
terradillos	Terradillos
terradillos de esgueva	Terradillos de Esgueva
terrassa	Terrassa
terrateig	Terrateig
terrer	Terrer
terriente	Terriente
terrinches	Terrinches
terroba	Terroba
teruel	Teruel
terzaga	Terzaga
tetuan de las victorias	Tetuán de las Victorias
teulada	Teulada
tiana	Tiana
tias	Tías
tibi	Tibi
tiedra	Tiedra
tielmes	Tielmes
tierz	Tierz
tierzo	Tierzo
tietar	Tiétar
tijarafe	Tijarafe
tijola	Tíjola
timon	Timón
tinajas	Tinajas
tinajo	Tinajo
tineo	Tineo
tinosillos	Tiñosillos
tirapu	Tirapu
tirgo	Tirgo
titaguas	Titaguas
titulcia	Titulcia
tiurana	Tiurana
tivenys	Tivenys
tivissa	Tivissa
tobar	Tobar
tobarra	Tobarra
tobed	Tobed
tobia	Tobía
tocina	Tocina
todolella	Todolella
toen	Toén
toga	Toga
tolbanos	Tolbaños
toledo	Toledo
tollos	Tollos
tolocirio	Tolocirio
toloriu	Toloriu
tolosa	Tolosa
tolox	Tolox
tomares	Tomares
tomelloso	Tomelloso
tomino	Tomiño
tona	Tona
topas	Topas
tora de riubregos	Torà de Riubregós
toral de los guzmanes	Toral de los Guzmanes
toras	Torás
tordehumos	Tordehumos
tordellego	Tordellego
tordelrabano	Tordelrábano
tordera	Tordera
tordesillas	Tordesillas
tordesilos	Tordesilos
tordillos	Tordillos
tordomar	Tordómar
torello	Torelló
toreno	Toreno
torija	Torija
toril	Toril
torlengua	Torlengua
tormantos	Tormantos
tormellas	Tormellas
tormon	Tormón
tormos	Tormos
tornabous	Tornabous
tornadizos de avila	Tornadizos de Ávila
tornavacas	Tornavacas
tornos	Tornos
toro	Toro
torquemada	Torquemada
torralba	Torralba
torralba de aragon	Torralba de Aragón
torralba de calatrava	Torralba de Calatrava
torralba de los frailes	Torralba de los Frailes
torralba de los sisones	Torralba de los Sisones
torralba de oropesa	Torralba de Oropesa
torralba de ribota	Torralba de Ribota
torralba del pinar	Torralba del Pinar
torralbilla	Torralbilla
torre alhaquime	Torre Alháquime
torre baro	Torre Baró
torre de arcas	Torre de Arcas
torre de don miguel	Torre de Don Miguel
torre de esgueva	Torre de Esgueva
torre de juan abad	Torre de Juan Abad
torre de la horadada	Torre de la Horadada
torre de las arcas	Torre de las Arcas
torre de miguel sesmero	Torre de Miguel Sesmero
torre de penafiel	Torre de Peñafiel
torre de santa maria	Torre de Santa María
torre del bierzo	Torre del Bierzo
torre del burgo	Torre del Burgo
torre del campo	Torre del Campo
torre del compte	Torre del Compte
torre del mar	Torre del Mar
torre en cameros	Torre en Cameros
torre los negros	Torre los Negros
torre val de san pedro	Torre Val de San Pedro
torre-cardela	Torre-Cardela
torre-pacheco	Torre-Pacheco
torreadrada	Torreadrada
torrebesses	Torrebesses
torreblacos	Torreblacos
torreblanca	Torreblanca
torreblascopedro	Torreblascopedro
torrecaballeros	Torrecaballeros
torrecampo	Torrecampo
torrechiva	Torrechiva
torrecilla de alcaniz	Torrecilla de Alcañiz
torrecilla de la abadesa	Torrecilla de la Abadesa
torrecilla de la jara	Torrecilla de la Jara
torrecilla de la orden	Torrecilla de la Orden
torrecilla de la torre	Torrecilla de la Torre
torrecilla de los angeles	Torrecilla de los Ángeles
torrecilla del monte	Torrecilla del Monte
torrecilla del pinar	Torrecilla del Pinar
torrecilla del rebollar	Torrecilla del Rebollar
torrecilla en cameros	Torrecilla en Cameros
torrecilla sobre alesanco	Torrecilla sobre Alesanco
torrecillas de la tiesa	Torrecillas de la Tiesa
torrecuadrada de molina	Torrecuadrada de Molina
torrecuadradilla	Torrecuadradilla
torredembarra	Torredembarra
torredonjimeno	Torredonjimeno
torrefarrera	Torrefarrera
torregalindo	Torregalindo
torregamones	Torregamones
torrehermosa	Torrehermosa
torreiglesias	Torreiglesias
torrejon de ardoz	Torrejón de Ardoz
torrejon de la calzada	Torrejón de la Calzada
torrejon de velasco	Torrejón de Velasco
torrejon del rey	Torrejón del Rey
torrejon el rubio	Torrejón el Rubio
torrejoncillo	Torrejoncillo
torrejoncillo del rey	Torrejoncillo del Rey
torrelaguna	Torrelaguna
torrelapaja	Torrelapaja
torrelara	Torrelara
torrelavega	Torrelavega
torrella	Torrella
torrellas	Torrellas
torrelles de llobregat	Torrelles de Llobregat
torrelobaton	Torrelobatón
torrelodones	Torrelodones
torremayor	Torremayor
torremegia	Torremegía
torremenga	Torremenga
torremocha	Torremocha
torremocha de jadraque	Torremocha de Jadraque
torremocha de jarama	Torremocha de Jarama
torremocha del campo	Torremocha del Campo
torremocha del pinar	Torremocha del Pinar
torremochuela	Torremochuela
torremolinos	Torremolinos
torremontalbo	Torremontalbo
torremormojon	Torremormojón
torrent	Torrent
torrenueva	Torrenueva
torreorgaz	Torreorgaz
torreperogil	Torreperogil
torrequemada	Torrequemada
torres	Torres
torres de albarracin	Torres de Albarracín
torres de alcanadre	Torres de Alcanadre
torres de barbues	Torres de Barbués
torres de berrellen	Torres de Berrellén
torres de la alameda	Torres de la Alameda
torres de segre	Torres de Segre
torres del carrizal	Torres del Carrizal
torres del rio	Torres del Río
torresandino	Torresandino
torrescarcela	Torrescárcela
torresmenudas	Torresmenudas
torrevelilla	Torrevelilla
torrevieja	Torrevieja
torrico	Torrico
torrijas	Torrijas
torrijo de la canada	Torrijo de la Cañada
torrijo del campo	Torrijo del Campo
torrijos	Torrijos
torroella de fluvia	Torroella de Fluvià
torroella de montgri	Torroella de Montgrí
torrox	Torrox
torrubia	Torrubia
torrubia de soria	Torrubia de Soria
torrubia del campo	Torrubia del Campo
torrubia del castillo	Torrubia del Castillo
tortola de henares	Tórtola de Henares
tortoles	Tórtoles
tortosa	Tortosa
tortuera	Tortuera
tortuero	Tortuero
tosantos	Tosantos
toses	Toses
tosos	Tosos
tossa de mar	Tossa de Mar
totalan	Totalán
totana	Totana
totanes	Totanés
touro	Touro
tous	Tous
trabada	Trabada
trabadelo	Trabadelo
trabanca	Trabanca
trabazos	Trabazos
trafalgar	Trafalgar
traiguera	Traiguera
tramacastiel	Tramacastiel
tramacastilla	Tramacastilla
tramaced	Tramaced
trasierra	Trasierra
trasmiras	Trasmiras
trasmoz	Trasmoz
trasobares	Trasobares
traspinedo	Traspinedo
trazo	Trazo
trebujena	Trebujena
trefacio	Trefacio
tremedal de tormes	Tremedal de Tormes
tremp	Tremp
tres cantos	Tres Cantos
trescasas	Trescasas
tresjuncos	Tresjuncos
trespaderne	Trespaderne
tresviso	Tresviso
trevelez	Trevélez
treviana	Treviana
tribaldos	Tribaldos
tricio	Tricio
trigueros	Trigueros
trigueros del valle	Trigueros del Valle
trijueque	Trijueque
trillo	Trillo
triollo	Triollo
tronchon	Tronchón
truchas	Truchas
trujillanos	Trujillanos
trujillo	Trujillo
tubilla del agua	Tubilla del Agua
tubilla del lago	Tubilla del Lago
tudela	Tudela
tudela de duero	Tudela de Duero
tudelilla	Tudelilla
tuejar	Tuéjar
tui	Tui
tuineje	Tuineje
tulebras	Tulebras
turcia	Turcia
turegano	Turégano
turis	Turís
turleque	Turleque
turre	Turre
turrillas	Turrillas
ubeda	Úbeda
ubide	Ubide
ubrique	Ubrique
uceda	Uceda
ucero	Ucero
ucles	Uclés
ugena	Ugena
ugijar	Ugíjar
ujados	Ujados
ujue	Ujué
ulea	Ulea
uleila del campo	Uleila del Campo
ulla	Ullà
ullastrell	Ullastrell
ullastret	Ullastret
ulldecona	Ulldecona
ulldemolins	Ulldemolins
ultramort	Ultramort
umbrete	Umbrete
umbrias	Umbrías
una	Uña
una de quintana	Uña de Quintana
uncastillo	Uncastillo
undues de lerda	Undués de Lerda
universidad	Universidad
unzue	Unzué
urbanizacion casas viejas	Urbanizacion Casas Viejas
urda	Urda
urdazubi / urdax	Urdazubi / Urdax
urdiales del paramo	Urdiales del Páramo
urduna / orduna	Urduña / Orduña
urnieta	Urnieta
urones de castroponce	Urones de Castroponce
urracal	Urrácal
urrea de jalon	Urrea de Jalón
urretxu	Urretxu
urries	Urriés
uruena	Urueña
uruenas	Urueñas
urunuela	Uruñuela
urus	Urús
urzainqui	Urzainqui
usagre	Usagre
used	Used
usera	Usera
usurbil	Usurbil
utande	Utande
utebo	Utebo
uterga	Uterga
utiel	Utiel
utrera	Utrera
utrillas	Utrillas
vadillo	Vadillo
vadillo de la guarena	Vadillo de la Guareña
vadillo de la sierra	Vadillo de la Sierra
vadocondes	Vadocondes
val de san lorenzo	Val de San Lorenzo
val de san martin	Val de San Martín
valacloche	Valacloche
valbona	Valbona
valbuena de duero	Valbuena de Duero
valbuena de pisuerga	Valbuena de Pisuerga
valcabado	Valcabado
valdaracete	Valdaracete
valdarachas	Valdarachas
valdastillas	Valdastillas
valdeacederas	Valdeacederas
valdealgorfa	Valdealgorfa
valdeande	Valdeande
valdearcos de la vega	Valdearcos de la Vega
valdearenas	Valdearenas
valdeavellano	Valdeavellano
valdeavellano de tera	Valdeavellano de Tera
valdeavero	Valdeavero
valdeaveruelo	Valdeaveruelo
valdebernardo	Valdebernardo
valdecaballeros	Valdecaballeros
valdecanas de tajo	Valdecañas de Tajo
valdecarros	Valdecarros
valdecasa	Valdecasa
valdeconcha	Valdeconcha
valdecuenca	Valdecuenca
valdefinjas	Valdefinjas
valdefresno	Valdefresno
valdefuentes	Valdefuentes
valdefuentes de sangusin	Valdefuentes de Sangusín
valdefuentes del paramo	Valdefuentes del Páramo
valdeganga	Valdeganga
valdegrudas	Valdegrudas
valdehijaderos	Valdehijaderos
valdehorna	Valdehorna
valdehuncar	Valdehúncar
valdelacalzada	Valdelacalzada
valdelacasa	Valdelacasa
valdelacasa de tajo	Valdelacasa de Tajo
valdelageve	Valdelageve
valdelagua del cerro	Valdelagua del Cerro
valdelarco	Valdelarco
valdelcubo	Valdelcubo
valdelinares	Valdelinares
valdelosa	Valdelosa
valdeltormo	Valdeltormo
valdemadera	Valdemadera
valdemaluque	Valdemaluque
valdemanco	Valdemanco
valdemanco del esteras	Valdemanco del Esteras
valdemaqueda	Valdemaqueda
valdemarin	Valdemarín
valdemeca	Valdemeca
valdemierque	Valdemierque
valdemora	Valdemora
valdemorales	Valdemorales
valdemorillo	Valdemorillo
valdemorillo de la sierra	Valdemorillo de la Sierra
valdemoro	Valdemoro
valdemoro-sierra	Valdemoro-Sierra
valdenebro	Valdenebro
valdenebro de los valles	Valdenebro de los Valles
valdeobispo	Valdeobispo
valdeolivas	Valdeolivas
valdeolmillos	Valdeolmillos
valdeolmos	Valdeolmos
valdepenas	Valdepeñas
valdepenas de jaen	Valdepeñas de Jaén
valdepenas de la sierra	Valdepeñas de la Sierra
valdepielago	Valdepiélago
valdepielagos	Valdepiélagos
valdepolo	Valdepolo
valdeprado	Valdeprado
valdeprados	Valdeprados
valderas	Valderas
valderrabano	Valderrábano
valderrebollo	Valderrebollo
valderrey	Valderrey
valderrobres	Valderrobres
valderrodilla	Valderrodilla
valderrodrigo	Valderrodrigo
valderrubio	Valderrubio
valderrueda	Valderrueda
valdes	Valdés
valdesamario	Valdesamario
valdescorriel	Valdescorriel
valdesotos	Valdesotos
valdestillas	Valdestillas
valdetorres	Valdetorres
valdetorres de jarama	Valdetorres de Jarama
valdevacas de montejo	Valdevacas de Montejo
valdeverdeja	Valdeverdeja
valdevimbre	Valdevimbre
valdezarza	Valdezarza
valdezate	Valdezate
valdezorras	Valdezorras
valdilecha	Valdilecha
valdorros	Valdorros
valdovino	Valdoviño
valdunciel	Valdunciel
valdunquillo	Valdunquillo
valencia	Valencia
valencia de alcantara	Valencia de Alcántara
valencia de don juan	Valencia de Don Juan
valencia de las torres	Valencia de las Torres
valencia del mombuey	Valencia del Mombuey
valencia del ventoso	Valencia del Ventoso
valencina de la concepcion	Valencina de la Concepción
valenzuela	Valenzuela
valenzuela de calatrava	Valenzuela de Calatrava
valero	Valero
valfarta	Valfarta
valfermoso de tajuna	Valfermoso de Tajuña
valga	Valga
valganon	Valgañón
valhermoso	Valhermoso
valhermoso de la fuente	Valhermoso de la Fuente
valjunquera	Valjunquera
vall de almonacid	Vall de Almonacid
vall de ebo	Vall de Ebo
vall de gallinera	Vall de Gallinera
vallada	Vallada
valladolid	Valladolid
vallanca	Vallanca
vallarta de bureba	Vallarta de Bureba
vallbona	Vallbona
vallbona de les monges	Vallbona de les Monges
vallcarca	Vallcarca
vallcebre	Vallcebre
vallclara	Vallclara
valldemossa	Valldemossa
valle de abdalagis	Valle de Abdalagís
valle de cerrato	Valle de Cerrato
valle de la serena	Valle de la Serena
valle de matamoros	Valle de Matamoros
valle de santa ana	Valle de Santa Ana
valle de tabladillo	Valle de Tabladillo
vallecas	Vallecas
vallecillo	Vallecillo
vallehermosa	Vallehermosa
vallehermoso	Vallehermoso
vallejera de riofrio	Vallejera de Riofrío
vallelado	Vallelado
valleruela de pedraza	Valleruela de Pedraza
valleruela de sepulveda	Valleruela de Sepúlveda
valles	Vallés
valles de palenzuela	Valles de Palenzuela
vallesa de la guarena	Vallesa de la Guareña
valleseco	Valleseco
vallfogona de balaguer	Vallfogona de Balaguer
vallfogona de riucorb	Vallfogona de Riucorb
vallgorguina	Vallgorguina
vallibona	Vallibona
vallirana	Vallirana
vallmoll	Vallmoll
vallromanes	Vallromanes
valls	Valls
valluercanes	Valluércanes
vallvidrera, el tibidabo i les planes	Vallvidrera, el Tibidabo i les Planes
valmadrid	Valmadrid
valmala	Valmala
valmojado	Valmojado
valor	Válor
valoria la buena	Valoria la Buena
valpalmas	Valpalmas
valsalabroso	Valsalabroso
valsalobre	Valsalobre
valseca	Valseca
valsequillo de gran canaria	Valsequillo de Gran Canaria
valtablado del rio	Valtablado del Río
valtajeros	Valtajeros
valtiendas	Valtiendas
valtierra	Valtierra
valtorres	Valtorres
valverde	Valverde
valverde de alcala	Valverde de Alcalá
valverde de burguillos	Valverde de Burguillos
valverde de campos	Valverde de Campos
valverde de jucar	Valverde de Júcar
valverde de la vera	Valverde de la Vera
valverde de la virgen	Valverde de la Virgen
valverde de leganes	Valverde de Leganés
valverde de llerena	Valverde de Llerena
valverde de los arroyos	Valverde de los Arroyos
valverde de merida	Valverde de Mérida
valverde de valdelacasa	Valverde de Valdelacasa
