oberwinterthur (kreis 2) / zinzikon	Oberwinterthur (Kreis 2) / Zinzikon
obfelden	Obfelden
obfelden / oberlunnern	Obfelden / Oberlunnern
obfelden / toussen	Obfelden / Toussen
oensingen	Oensingen
oetwil	Oetwil
oftringen	Oftringen
ollon	Ollon
olten	Olten
onex	Onex
opfikon	Opfikon
orbe	Orbe
ormalingen	Ormalingen
orny	Orny
oron-la-ville	Oron-la-Ville
orpund	Orpund
orsieres	Orsières
orvin	Orvin
ostermundigen	Ostermundigen
otelfingen	Otelfingen
othmarsingen	Othmarsingen
ottenbach	Ottenbach
pailly	Pailly
palezieux	Palézieux
pampigny	Pampigny
paudex	Paudex
payerne	Payerne
penthalaz	Penthalaz
penthereaz	Penthéréaz
perroy	Perroy
pery	Péry
peseux	Peseux
pfaffhausen	Pfaffhausen
pfaffikon	Pfäffikon
pfaffikon / irgenhausen	Pfäffikon / Irgenhausen
pfaffikon / pfaffikon (dorfkern)	Pfäffikon / Pfäffikon (Dorfkern)
pfaffnau	Pfaffnau
pfeffingen	Pfeffingen
pfungen	Pfungen
pfyn	Pfyn
pieterlen	Pieterlen
plaffeien	Plaffeien
plan-les-ouates	Plan-les-Ouates
pompaples	Pompaples
pont-la-ville	Pont-la-Ville
pontresina	Pontresina
porrentruy	Porrentruy
poschiavo	Poschiavo
prangins	Prangins
praroman	Praroman
pratteln	Pratteln
pregassona	Pregassona
preverenges	Préverenges
prilly	Prilly
promontogno	Promontogno
puidoux	Puidoux
pully	Pully
puplinge	Puplinge
pura	Pura
quarten	Quarten
radelfingen	Radelfingen
rafz	Rafz
ramsen	Ramsen
randogne	Randogne
rapperswil	Rapperswil
raron	Raron
rebstein	Rebstein
rechthalten	Rechthalten
reconvilier	Reconvilier
regensdorf	Regensdorf
regensdorf / feldblumen-riedthofstrasse	Regensdorf / Feldblumen-Riedthofstrasse
regensdorf / hofacher-geeren	Regensdorf / Hofacher-Geeren
regensdorf / obstgarten	Regensdorf / Obstgarten
rehetobel	Rehetobel
reichenburg	Reichenburg
reiden	Reiden
reigoldswil	Reigoldswil
reinach	Reinach
renens	Renens
rhazuns	Rhäzüns
rheineck	Rheineck
rheinfelden	Rheinfelden
riaz	Riaz
richterswil	Richterswil
richterswil / burghalde	Richterswil / Burghalde
richterswil / dorfkern	Richterswil / Dorfkern
richterswil / richterswil (dorfkern)	Richterswil / Richterswil (Dorfkern)
rickenbach bei wil	Rickenbach bei Wil
riddes	Riddes
riedholz	Riedholz
riehen	Riehen
riggisberg	Riggisberg
ringgenberg	Ringgenberg
riva san vitale	Riva San Vitale
riviera	Riviera
rochefort	Rochefort
rodersdorf	Rodersdorf
roggwil	Roggwil
rohr	Rohr
rohrbach	Rohrbach
rolle	Rolle
romanel-sur-lausanne	Romanel-sur-Lausanne
romanshorn	Romanshorn
romerswil	Römerswil
romont	Romont
root	Root
rorbas	Rorbas
rorschach	Rorschach
roschenz	Röschenz
rothenthurm	Rothenthurm
rothrist	Rothrist
rotkreuz	Rotkreuz
rottenschwil	Rottenschwil
rubigen	Rubigen
ruderswil	Rüderswil
rudolfstetten	Rudolfstetten
rue	Rue
rueggisberg	Rüeggisberg
ruegsau	Rüegsau
rueyres	Rueyres
rumlang	Rümlang
rumlang / rumlang (dorfkern)	Rümlang / Rümlang (Dorfkern)
rumligen	Rümligen
rupperswil	Rupperswil
ruschegg	Rüschegg
ruschlikon	Rüschlikon
russikon	Russikon
ruswil	Ruswil
ruthi	Rüthi
ruti	Rüti
